NAME,ADDRESS,URL,CODE,LATITUDE,LONGITUDE,DESCRIPTION,Phone,Email,Contact,Pageviews
Hurricane Alleys,5 Boardwalk,https://hurricanealleyscb.com/,STEAKDECK,34.03302642,-77.89227713,Laid back and easy restaurant with a beautiful patio bar with an even better view.,(910) 707-0766,coastcleanllc@yahoo.com,David Cole,"1,235"
Buzz's Roost,8 Pavillion Ave,https://www.facebook.com/BuzzsBeach/?_rdr,FLYTHECOOP,34.03358024,-77.89214043,"Seafood, Steaks Sandwiches right at the CB boardwalk",(910) 580-4773,jeh576@yahoo.com,Jerry Herbert,"1,462"
Sunny Daze Smokehouse,9 Pavillion Ave,https://www.sunnydazecb.com/,DAZE,34.03369619,-77.89213303,BBQ from the Carolinas and more. Open 11 am to midnight 7 days a week with an incredible ocean view!,(910) 636-3111,morgan@sdaze.com,James & Morgan Hardin,"2,408"
The Tropical,2 Carolina Beach Ave North,https://goingtropicalcb.com/,MIAMI,34.0335576,-77.8925212,"Fresh bowls, homemade egg rolls, and frozen cocktails served up in Miami inspired CB boardwalk restaurant with glorious ocean views",(910) 707-0132,rogermonk@gmail.com,Roger Monk,996
Uncle Vinny's,1012 South Lake Park Boulevard,https://unclevinnyscb.com/,PIZZA,34.02462984,-77.89676127,Carolina Beach’s favorite local Italian Bar and Restaurant,(910) 458-2028,edmancat@gmail.com,Cat Edman,"4,521"
The Spot,1006 S Lake Park Blvd,https://www.thespotcb.com/,XMARKS,34.02488177,-77.89665366,Restaurant driven bar where friends meet and make friends...,(910) 707-0990,rayglow77@gmail.com,Ray Glowniak,987
Jack Mackerel's,113 K Avenue,https://www.jackmacksgrill.com/,MACK,33.99832748,-77.90628424,"Seafood, steaks, burgers, and chicken prepared using the freshest, local, ingredients and Chef Anthony's Island touch.",(910) 458-7668,beverlylem@aol.com,,N/A
Cherry Blossom Sushi,8 Pavillion Ave #7,https://www.facebook.com/profile.php?id=100085035986356,TUNA,34.03359477,-77.89253346,Great Sushi made fast. Our sushi is never pre-made and is made with the freshest in ingredients.,(910) 636-3090,cherryblossom.carolinabeach.nc@gmail.com,,N/A
Salt Fish,718 N Lake Ave,https://cbsaltfish.com/,TIKI,34.0400678,-77.89489632,"Eclectic dishes inspired by the Caribbean, Polynesia, and all ports in-between using locally-sourced ingredients. Full selection of signature Tiki cocktails",,,,
The Peach Cobbler,1010 Lake Park Blvd S,https://www.facebook.com/profile.php?id=61553841315049,GEORGIA,34.02486975,-77.89670003,A sweet specialty dessert shop,,,,
